#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Jul 12 14:40:02 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainModule_map.ncd
#OUTPUT FILE:      MainModule_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P15,Addrb<3>,IOB,IO_L13P_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,,,VCCO_14,,,14,,,,,1.80,,,,
P17,Out6<6>,IOB,IO_L12P_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,Out6<4>,IOB,IO_L9N_T1_DQS_D13_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,register2<15>,IOB,IO_L17P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R2,Out7<5>,IOB,IO_L15N_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R3,register2<3>,IOB,IO_L11P_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,register2<20>,IOB,IO_L19N_T3_VREF_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R6,register2<19>,IOB,IO_L19P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R7,register2<27>,IOB,IO_L23P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R8,register2<29>,IOB,IO_L24P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,clk2,IOB,IO_25_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R11,Out1<0>,IOB,IO_0_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R12,Addrb<8>,IOB,IO_L5P_T0_D06_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R13,Addrb<2>,IOB,IO_L5N_T0_D07_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,Addrb<1>,IOB,IO_L13N_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,Out7<4>,IOB,IO_L15P_T2_DQS_RDWR_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,register2<6>,IOB,IO_L12N_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,Addrb<5>,IOB,IO_L7P_T1_D09_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,register2<16>,IOB,IO_L17N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,Out6<5>,IOB,IO_L11N_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,Out6<7>,IOB,IO_L12N_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T5,register2<5>,IOB,IO_L12P_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T6,register2<28>,IOB,IO_L23N_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T7,,,GND,,,,,,,,,,,,
T8,register2<30>,IOB,IO_L24N_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T9,Out2<6>,IOB,IO_L24P_T3_A01_D17_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T10,Out2<7>,IOB,IO_L24N_T3_A00_D16_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T11,Out3<4>,IOB,IO_L19P_T3_A10_D26_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,Out2<4>,IOB,IO_L23P_T3_A03_D19_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T14,Out7<2>,IOB,IO_L14P_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,register2<10>,IOB,IO_L14N_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T16,register2<12>,IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T17,,,GND,,,,,,,,,,,,
T18,Addrb<6>,IOB,IO_L7N_T1_D10_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U1,register1<28>,IOB,IO_L7P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,LOCK,IOB,IO_L9P_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U3,register1<31>,IOB,IO_L8N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U4,register1<30>,IOB,IO_L8P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,register2<26>,IOB,IO_L22N_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U7,register2<25>,IOB,IO_L22P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U8,register2<31>,IOB,IO_25_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U9,register2<23>,IOB,IO_L21P_T3_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U10,,,GND,,,,,,,,,,,,
U11,Out3<5>,IOB,IO_L19N_T3_A09_D25_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U12,Out3<6>,IOB,IO_L20P_T3_A08_D24_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U13,Out2<5>,IOB,IO_L23N_T3_A02_D18_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U14,Out2<2>,IOB,IO_L22P_T3_A05_D21_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,Out3<2>,IOB,IO_L18P_T2_A12_D28_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U17,Out3<0>,IOB,IO_L17P_T2_A14_D30_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U18,Out3<1>,IOB,IO_L17N_T2_A13_D29_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,register1<29>,IOB,IO_L7N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,register2<0>,IOB,IO_L9N_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V3,,,GND,,,,,,,,,,,,
V4,Out6<3>,IOB,IO_L10N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V5,register2<1>,IOB,IO_L10P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V6,register2<22>,IOB,IO_L20N_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V7,register2<21>,IOB,IO_L20P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,register2<24>,IOB,IO_L21N_T3_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V10,Out2<0>,IOB,IO_L21P_T3_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V11,Out2<1>,IOB,IO_L21N_T3_DQS_A06_D22_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V12,Out3<7>,IOB,IO_L20N_T3_A07_D23_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,Out2<3>,IOB,IO_L22N_T3_A04_D20_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V15,Out7<6>,IOB,IO_L16P_T2_CSI_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V16,register2<14>,IOB,IO_L16N_T2_A15_D31_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V17,Out3<3>,IOB,IO_L18N_T2_A11_D27_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
